"id","owner"
"kvkxnynynjlanqccss","yjjvsygvdgpfduhqwczcuza"
"cizxvsiqpnaasfkf","ixvuudresft"
"letgihpntkn","cojwjfkpyfl"
"stapwcmnjrsgfwpnhywyajk","vhvwujtvrssxebimdusxjyb"
"jdimatlhfoyzzxi","bjxxmodafackgsl"
"fkpvsanplliutkvebpczj","xedhembpfmijcwjftsd"
"abfkkqspolfocs","tfrlnvbjytekelsmblfri"
"bvorhljqmcfgebeoncm","vkihcxjsxddncxbpuhwuucw"
"pulqzicqcywfldpgiewam","iwrljeqozcauvgbrarskvxwt"
"aqujhnzxhncdoiectviny","irgivooxfhiilcoin"
"rsmvqunvbvzmresruajyhjd","qyilsvekasj"
"dnhzrjgkdzhlwfxql","idjstmxrffyqgcgcfmfqml"
"elnkfsmwilkawtezfeycbi","rhohandxqyylcrmtlefi"
"rgdwvjskqeyiaevsi","constantly"
"automatically","bisjhiaubzmltx"
"dcegjnugofdbpjrauxaufj","ajxssyvnijsjzlhwqfbzbj"
"zialuseiqytggbnhn","eegovdexdlnvdv"
"automatically","nwbvhxptyhb"
"wssyddzlggfxszmgetdiwul","itkcbjpjvnzshdha"
"omghjvxpvrfbzugxlscvlvrd","twlnhukwizk"
"automatically","rnltclftcjsusknpmgvibt"
"izwxsvnuzuehndbte","vcdksahyzcqdyzjnzkpf"
"bqkxfjbpgubv","constantly"
"unpvmydvlhi","constantly"
"npyyrlpzcfjrjebiomnxml","qyabkeqrxylawmspzuaqampq"
"constantly","pxotrfrufwtreunrgs"
"zgcffoshcaejmuftrwrg","wmhwbkptxnfz"
"qzznbyrtdaqnifmgxikdt","rziiqwnapjxbhzdgh"
"mtijhtepwfzblo","ehthkpdktlhzaqboy"
"ovnnqosyramtphwfov","shjqzcsvheecvck"
"automatically","cymswfonrwbujm"
"lacayywrsptfggqdwowd","wldqrimjthx"
"qgakixczllgzxdbamovmnws","constantly"
"sxpoofwvalbtts","tsmsfemzibznplhijb"
"automatically","qpxswcmemfhogimirsiao"
"vijtxenxtdzhilwg","hurjvvqkokxsvsefqgbxk"
"nqczpbndawql","dayvzgnxjnwzijqrhperng"
"automatically","twdjazrdazrkhgdkr"
"ujnqnwfknssczwbd","tlxdaytimafulrufervwi"
"ixstfyxwxjqvzsrzgvz","fbcyawuokpkosm"
"ikmazxtlguiqrxrohswhagpz","ktljnsshcalmsfurm"
"jjkapnzlmbbrvje","qcrmkpoigjaalvdfejfm"
"kurutpltufopegecbagft","sfdazqzvvrpwzb"
"constantly","jofhcxcyxxicme"
"automatically","axkcmkaoijzsdhfzeg"
"dgocqvlkezl","vqgroyclcnjorswcr"
"constantly","xozsfpybssewypmc"
"etgzzcaekacfzoqwv","dfnpphilhpbwjl"
"apxcauvidqkoxwpkggok","automatically"
"yjvuvohxidvpzyynd","qepdocmhonlzgeeqbhdvewnt"
"automatically","automatically"
"guvumlzlajz","varpfgmjsyemnfag"
"wcjriilsqyjgitqmynswzyaj","fuyzbxwledv"
"srnpyzpooovqmawql","qogdjlqover"
"automatically","pziqgqcpkyaruburad"
"qyauogmlcdtvunvwpjvqkok","dsxxmbbvausgvkhxrkdsk"
"stfymtxfdggjtxtrovtdhz","pqaabrstmeanhzxr"
"crrzzdqzplnvqumkbrubn","rzowxiptsgqwhy"
"discovered","ptjdkqdxazivoyduzg"
"snupbufqbeunoy","television"
"dpnfahbkmxunisdmmnwx","xomvwplfansx"
"automatically","lmuplunljwhkvx"
"ufvkqlvdglqidbhcxap","qqqyqqnrtgvsmaoj"
"automatically","jtcwgcwljgin"
"dbrospsvhydxjptscdbgj","vnqtczepnzcswldsxaztig"
"dqsbzqxpojskdbvfuhksxftp","hzbdwvazems"
"napckxjcjrdnxwcpz","wpoytqpdmke"
"yqqschkvazayafamhicpyna","owttwroziwfqvselzb"
"jogihmxuhlgfbtihskqcwek","lhrnkaeuogioubmy"
"ikeucukwgjru","lurueljqogdfdffgausynrat"
"wufqsrxssmagdwonufuqojl","ddillczbwljkjxt"
"mskhfdvhnalyaxq","wcigjrjeiunleumtwxzzq"
"bgfatkdixaznwqfhomnlsh","krzokczifiatzzx"
"gwzaevhogdrihhqigjv","jathysyujitlswxppsfowd"
"zgdyuwihkxgy","wvkxchjgxbpcbmwp"
"uucjyjxazlhk","yevlihyasaubrhmo"
"bpyeobdkzux","uyzhfmumyjicbabgqhy"
"fngdwpfewvfpgpyxn","automatically"
"vmgautbzgzqglibwdc","spazfzlyzjfgvqkw"
"ssmifbexnsepddehzrkj","ptcfpuyfywmcvcx"
"ncczqwmibkc","vewddlxedyowfzdatvo"
"cownanaxradskgpuhkxns","beatrsvadammmueqccbayu"
"gakluvnlaiwuch","crhweqzbojkvnnizexk"
"lgbpkskporb","aruyfzcxbjqmvrurgqhhoib"
"beeiufqhpwm","tsfjyjlhalpzrgwzapz"
"rnrhjlkgapazssnxnlways","hjaadvslizwrtbrvzsghzfzb"
"qbepobnswgndamchjpof","hoaupqbdvodgjmy"
"gqvvrhklluqflow","constantly"
"nqccrsedurntmgvbzlhluz","vtcttzcrivh"
"seyryqgeiekc","lwevndldjryohmpegchv"
"tsqyxfqmgwjwfsef","psgvgdsltpsspqieesfrm"
"automatically","unmyttgohahdvyxj"
"nxqggmgtsprcny","nxnilwjhcninwgngffc"
"ujvorvwmimr","vthjpsaclpgxqpwmwkkn"
"bktsjulnlxisefl","zxkgvjilgkfvssjndfx"
"fdjvemncrspqzoym","dlquxltfzpghfwjydmb"
"automatically","bnxxadlipiaylcqiwjsmdm"
"hreagquwgpjjvfckmupdd","umvcvrorysdxtlgmqlntbtz"
"tabeungxoxnudegbj","bpefhjajqzegvnlbfanocnpq"
"ysxlabicqmouhnnmkgsgtyef","wseiiuuguryx"
"constantly","clgmpiypktnhzknoh"
"jkikpajdvshavwaiiuc","automatically"
"rfshabkxfthmkertzhalvft","hkgsiydatyfzwodnetpzde"
"naqdrhizsjkwxkv","zcrcedufgltudftdcwjjfv"
"icejztulbrhgkrwtjkzga","mcrmsqyhvtmdoaun"
"kpogiyiziuy","hfhxxfuykxgkvvzv"
"constantly","constantly"
"automatically","automatically"
"drvjubkuwqdwienmwyrprtam","xixqakdtjrfdznoodvqpphvm"
"rxftcvtbranhymagbtcer","xxqlvnazjmlaipqh"
"tyxjqptjbsmbcw","chicsxyfxjcw"
"constantly","znagvfecsniitbsnyumfc"
"ameigquodehzpcu","gninpskgkeoywrym"
"vmoymrbymkmviq","tbzazrdzvjixprxeutxhxvtq"
"nsqbrcljnpcm","pnfooqmpxic"
"qpcphcsfeuushowmhzro","fmkxlzwzatnkupjrpvjswv"
"phohvoblysprmqrcd","srdpvztkbagj"
"bdaewseokylsahzacqpkzpir","pfwilwocfbnrel"
"pqgpoyqucpmrplavdhpme","cjpngeimyvraflc"
"cokvcuzvldhpbrd","fgblewsqrnqeijnuu"
"lcckhwdywvebczbrjzaxsnck","htczsekfeukkwxp"
"ndahriyrivb","wkebtfkrbjdvefa"
"mearmsjkuejjakqqi","ngnqsjglklhonz"
"constantly","ohrifxsijtqirfx"
"kdpttlympbckiuzph","wrrsrumdhktfpaccjymlvb"
"kfrhelorvdoj","pkrfaawwzfnjnkifigd"
"jskvpwuhzdsb","qdbsjfrbncfovgme"
"constantly","utuxtfaryvnffrgjgguwe"
"glwfwfldbsqbtyi","uvtcufbbrtxygggg"
"gddctbqvduohtos","nnkshakdhrnbma"
"rfmgxscbdsmcvewjzs","armhkbwllys"
"mhojbugveipwkfmzhdpeg","olggcbkdclqliwzqwr"
"hcpeliphzwgx","suzirpjdjtfyckjkiwvxww"
"dcjxczicgwglhuk","eeohthekrlnurgqman"
"uiwgdbamtdx","bjmhsqughahwzui"
"bmldeftdmeffdaxxw","cmxcbnfvonccsum"
"dbpjrdvzkbgzqmsok","zwmburkjmsxa"
"fildhetkijnalpyviragave","cwlzptoxcddkxus"
"doujhgwtpfke","hbqxamdscoffocwwgceyz"
"mxbmfufkdfglaqbpu","mhoubimkikoublkjtzfsbe"
"bukffyqdrxauvwkqzaxa","wjdqhwmworbsbpsdfw"
"hmawjhymcgoshzobbkbcznvj","nqmmdjchoqnfhcuht"
"vwbnfbifkblpxasmf","xtcicjmndynivrvt"
"automatically","hgmudhwgegxaznlex"
"zsiwynkvindzyoazyoctwdl","vrgwogkeufwaayowgfjrha"
"afchomtpdftaennvbysmt","vzzofogrmqouykb"
"beaicgrmemd","ekgckrdlsdrsjtjtiqs"
"automatically","automatically"
"uvcaxotzxlxfontaek","rywavknfzbwbuzpr"
"kdodahlmqntyik","bxaxvowcymimupasbwwyz"
"lgfixkcelztbmtmmnkrwq","automatically"
"vtyswfbhwoduewsjmypcah","television"
"constantly","constantly"
"rrnjaqpsluewjr","aonyngtbwuabgobr"
"uykqpfobhxpkutqqe","automatically"
"ntpgiqwjliupbnuhutx","tcoztfkophixxlqqep"
"futnoczsckgepwczidt","automatically"
"nspdmkpixibx","eadqdmxgnuybyiyyh"
"fwissywivbouobaljb","caoolkmoxapituvws"
"drykgiitbpyeft","kifkwcutcmvfku"
"wjjmkfppomrsxwy","mtvnpjcadczuwiznbci"
"ynkgpmkcanqapmvblyzkmi","mfvctklbppajirupuacvzwg"
"dcnscfthcgwjpswqyjsby","tewitrkymld"
"mykdyfpzfksacmuh","noskhqexlzsrlxogztgpq"
"uflbysegcjlbvixtixlib","rppvisgqfgundcwraohzrtyi"
"efjqwxgwqtglttrhfpooe","uatmgscyuwqlfxswjyjeue"
"television","plpnrhapuwml"
"fvmkbglmowditgxoosuqkbth","upknrwsrpwdggdvsgy"
"hjniskayjxcxbldgikwycx","niwgaebcxxkgbrgutyy"
"wupxvraouiqalwlss","mizdlnbgkvdwdgcamaxix"
"ybzjsanjolpwdwpbsitbz","yosauqudbjxqjhejdbzkxov"
"etdqpryhwesqsgbcsxvmuzxv","cqxvccsygsbyxfq"
